filename,is_spam,in_reply,subj_caps,attachments
2170.78c282a5e417d6d231dc75aa8588ebb7,N,N,N,N
0461.7609029b07acf65f40bd93882aa35887,N,N,N,N
00769.25bf9a767b5db0ed93f03c1637281663,N,Y,N,N
01074.8590d61ac0aeeadb58dc2f2ba776c406,N,N,N,N
02479.14365bcad3a60fcf24c5c1813f6291fb,N,Y,N,N
1077.5967a2892063a3470f32596403b095aa,N,Y,N,N
1000.348e8a82897b05d584de019f4dd5c7e2,N,N,N,N
2125.ee1e93366c2199584cfbd4cbb353d918,N,N,N,N
0401.9ab0bcc81e70d6930acfefc2854a0172,N,Y,N,N
0502.9e78d7d003ceeef52c70ac7e7b786ef9,N,Y,N,N
1561.b968a0929d29009dbb76603323c1862f,N,N,N,N
01417.ce7b07a2114218dbac682b599785820d,N,N,N,N
0634.2da7e83d50baee90c3c9defd2aa30b72,N,N,N,N
00357.d559b71616f64ba1d1c1e61a03644fd4,N,N,N,N
1005.aaca009bb6cf75da8456c570bad6ad08,N,N,N,N
01465.b1fa1feb0603eff01231fa4a5a74cf37,N,Y,N,N
2434.477cbb634d8dd2ee4e697f479fa77b24,N,N,N,N
0775.380d5908cc272338fc163b1d1a748e8c,N,Y,N,N
01083.68ca1eec938ec95c00e6fcd3ed282dd3,N,Y,N,N
01235.ba9c966dd1894a1206da779f572da412,N,Y,N,N
01404.789355d67d32ceeedce39b891883eed5,N,Y,N,N
01866.75c5029703de73d75e5ed23b657ea052,N,N,N,N
1453.1089ed990307329cb4527b6835b2259c,N,Y,N,N
02105.4b566a220773c7dfde49b30a87949d22,N,N,N,N
01932.f8c1d938ebba259e2926cf4400891c86,N,N,N,N
0039.5bf1ec6602c4657bac8d566604572ad5,N,N,N,N
0106.808c5e5ed0b801f667a34ead8221972e,N,Y,N,N
00723.e72e8e80f67f30983c089943e184f5e6,N,N,N,N
0863.3de076f8a3b5f011d630dbefbd371694,N,Y,N,N
01321.837b8a696b13b820d154fcb1a0ef6465,N,Y,N,N
01596.fa947ffc2560132f53cc7c0bbf39b584,N,Y,N,N
0146.2d301a1e07672538d669f5e571180d32,N,N,N,N
0197.59ea60c031993abdccb762f9dbb35340,N,N,N,N
0059.b3b1b1d95976b70d9bbd6c39c6b8d5d2,N,Y,N,N
0250.21660c434f8535865d04d112f8105708,N,N,N,N
2310.5c05ac6e4c2b473ef5dec9fe794ec853,N,N,N,N
02070.5686ae05b8d5e6eb569995e3e4fb2751,N,N,N,N
01683.59383d91430d9cb58e7d0aa4e25b1320,N,N,N,N
02293.2ae2c667486323afb16d109b406b8783,N,N,N,N
0045.910fa2e79f96c646f1b6c987c65cbe3f,N,N,N,N
0154.9e065ee6214360e43b9873e39880159e,N,Y,N,N
2045.23236c16f102098247b10ca305a9a6b5,N,N,N,N
2129.3d86d3c841fb61e241b77634c774c7fa,N,N,N,N
00852.8be48f515c9ecb089aa3fc5983eaf038,N,Y,N,N
1496.c48399a0c3abb60acd00322bdbb97565,N,Y,N,Y
00655.cf1f1255898932a567c5f7c39faab3b9,N,N,N,N
1197.d2b11de4c8eb13e1fcc1d444665d0d1c,N,N,N,N
02131.bdbca1d0e61528e8b86d759dedc06665,N,N,N,N
01716.8e1547062c811ff9b62183ad65bf4ed6,N,N,N,N
00190.e26c75eb1c827ea35cf2e3407595fa67,N,Y,N,N
00865.ffa802dadbaca77b74f05cc1c23c30bd,N,N,N,N
02454.7015a418cb0c3ca707b8b63e267bc6a0,N,Y,N,N
0435.7d06c898a16be4efbfbdef62c347ab59,N,N,N,N
0298.fb2fe4458efbd24753b011bf6db2deab,N,Y,N,N
1528.e2fa148e32e3c975b3afff6959c2ab6b,N,N,N,N
02432.529ee53cd95ce5c419495625a6727f1e,N,N,N,N
01270.49d052edd258d0f9eb08ca05e177f965,N,Y,N,N
0854.6fc80acdb73b0ab60c3f316f646c0546,N,N,N,N
02266.dc8353bea2a93134f0e947ec60106c32,N,N,N,N
0771.56f1377225cfa1461304bce68e892600,N,Y,N,N
00050.74d3103c5691914a530dcae2f656a1f5,N,Y,N,N
1707.5c6277e057c0b3238b03d60de3109e8e,N,Y,N,N
0821.479ffdea3cc5f259f453afe16dd27e4a,N,N,N,N
01254.e1ba700d620871e67b4f7db4b8859ac3,N,Y,N,N
2454.927f352b226246d7bca7badfc2d7aa50,N,N,N,N
0289.cb9c0595bddae2c25357ce5c9fbaf687,N,N,N,N
00900.04d3fc4b18f2def855155994cd956529,N,Y,N,N
00783.14a724489223eda0063e308c6914ee38,N,Y,N,N
2492.a60a61ef3280f7b68df65d4d7cf3afd0,N,N,N,N
01979.d734b8873a97f8bdd28ff533c2a57bd9,N,N,N,N
01816.6b3df134031475f588f5f5533afd344e,N,N,N,N
0182.6a44fa290eebac4c52eb17292623b630,N,N,N,N
01991.27c828be78e15dbf223bb3f3944508d6,N,N,N,N
00453.1b26da8f96711b00e186def7371d1e0d,N,N,N,N
00983.42eb62cc4057d03dfd3eb1c8afc270e2,N,Y,N,N
02493.f9f2870094430b7db8b0c1052b302cf1,N,N,N,N
0225.80a615200726ed2da1bfd347dcfd648c,N,N,N,N
01247.2a40443c1cba2e07a993b186db41971d,N,N,N,N
0145.7400cf6ab4cfe5ffeaab582c9730c656,N,Y,N,N
0477.b7958d4d9cb312c16965859705826a7e,N,N,N,N
01663.16e55768065036480deaa72ebb3bd8d5,N,N,N,N
00829.7c74d7c59a6a5f0d0e54562ef671d14b,N,Y,N,N
2110.65f419836d97dbaaa92c441995a69264,N,N,N,N
0404.eceb4a64a9ef4c1d738782efde23c09b,N,Y,N,N
1715.7e47339df52b3d0c131273f1c58ba4eb,N,N,N,N
00104.1a66c829aa9b0883591a2e8266c18bb2,N,N,N,N
0431.26f19fa47fab85e813b1aba8ff6139d6,N,Y,N,N
1635.52b59f11291134697f3604f9dfd72080,N,Y,N,N
0153.f78ed3d22e441ab7bd6d006323a83621,N,Y,N,N
01045.5f6b92624699ddf883fc56e9b158c031,N,Y,N,Y
01478.6539703e21dfb4f52faa4db689dbc6d5,N,Y,N,N
1845.e5c02ab6101d2a7759f059da0e6385ca,N,N,N,N
0817.bcee0d97a59953c5e6086df74d4ed665,N,Y,N,N
1740.cd9dec755fc9e6d819137b8e0111e031,N,N,N,N
01928.d1ee764b9abe31d0074a052066b62e81,N,N,N,N
0095.b51416f612ac5737e0f4a5529ce453d1,N,N,N,N
2538.e3f596927fd5dd74ad23a0792a449241,N,N,N,N
2190.bb3a7c01cc0fa4d7e2cb8237b593c570,N,N,N,N
2164.1a46ee8b5542d762cb2f364fe48207ae,N,N,N,N
00173.253a0161257f4fe309df9d9ffabd5ef3,N,Y,N,N
00635.b30f8636725812c0d15a96f31c07f8b6,N,Y,N,N
0848.ef1b9b43e194c1650d7722ffcc7b20ad,N,N,N,N
2397.9491b18b38e40aa651c7ef9b6291222d,N,N,N,N
0733.782a236e90e0e7a55b3c67be6f7bef23,N,N,N,N
00088.945614c3f6213f59548ab21306451675,N,N,N,N
01863.bd70d6cfad21b043c84dab8e1e86e2be,N,N,N,N
01467.3c3e579305d1975c1792ab734c99cdda,N,N,N,N
01042.5379f7151fef6cce3e2638aee3b193fa,N,Y,N,N
0287.18f9a821d67a503c0d54a2356a0f8a4a,N,N,N,N
02460.553f4ad4ee6fe63fb789337ab097ab97,N,N,N,N
01801.1724b0100b279470dfe73c76f0f12b90,N,N,N,N
00951.23649926ba46e21259b518be64d300af,N,Y,N,N
